date,label,daily_pnl_usd,tp_hit,sl_hit,trades_count,anchor_price_10am,atr14_m5,atr_ratio_20d,morning_range_pts,morning_trend_pts,directional_intensity,range_to_atr_ratio,trend_to_atr_ratio,morning_vol_std,day_of_week
2022-09-30,trade,10.95,True,False,1,1663.258,1.095,1.149,6.007,0.23,0.038,5.484,0.21,0.212,4
2022-10-03,trade,9.56,True,False,1,1663.378,0.956,1.001,6.007,1.08,0.18,6.281,1.129,0.174,0
2022-10-04,trade,8.58,True,False,1,1696.168,0.858,0.897,7.397,4.11,0.556,8.617,4.788,0.153,1
2022-10-05,trade,10.45,True,False,1,1719.698,1.045,1.086,7.896,5.34,0.676,7.555,5.109,0.215,2
2022-10-06,trade,29.88,True,False,2,1721.758,0.996,1.021,7.39,5.685,0.769,7.419,5.707,0.219,3
2022-10-07,trade,-5.43,False,False,1,1711.674,1.229,1.233,4.26,0.06,0.014,3.466,0.049,0.213,4
2022-10-10,skip,-76.42,False,False,6,1691.504,0.965,0.956,7.062,5.84,0.827,7.321,6.054,0.219,0
2022-10-11,trade,17.46,True,False,1,1665.278,1.746,1.665,12.23,3.5,0.286,7.004,2.004,0.292,1
2022-10-12,trade,10.11,True,False,1,1664.768,1.011,0.959,5.43,1.27,0.234,5.369,1.256,0.201,2
2022-10-13,trade,7.06,True,False,1,1669.808,0.706,0.675,5.825,3.68,0.632,8.246,5.209,0.136,3
2022-10-14,trade,10.81,True,False,1,1668.108,1.081,1.029,11.22,2.643,0.236,10.378,2.445,0.269,4
2022-10-17,trade,6.88,True,False,1,1650.255,0.688,0.669,7.45,4.947,0.664,10.827,7.19,0.153,0
2022-10-18,skip,-495.59,False,True,10,1649.307,0.978,0.944,4.64,1.111,0.239,4.745,1.136,0.167,1
2022-10-19,trade,7.55,True,False,1,1649.617,0.756,0.731,4.92,2.831,0.575,6.512,3.747,0.166,2
2022-10-20,trade,11.0,True,False,1,1626.308,1.1,1.086,6.95,1.63,0.235,6.319,1.482,0.229,3
2022-10-21,trade,7.14,True,False,1,1625.437,0.714,0.709,2.979,1.11,0.373,4.174,1.555,0.176,4
2022-10-24,trade,30.47,True,False,2,1655.487,1.016,1.021,19.02,3.541,0.186,18.726,3.486,0.206,0
2022-10-25,trade,33.31,False,False,3,1649.178,0.89,0.893,7.741,2.439,0.315,8.696,2.74,0.229,1
2022-10-26,trade,7.94,True,False,1,1656.097,0.794,0.805,6.76,3.869,0.572,8.515,4.873,0.177,2
2022-10-27,trade,9.67,True,False,1,1664.697,0.967,0.987,8.541,0.291,0.034,8.831,0.301,0.211,3
2022-10-28,trade,31.39,True,False,2,1665.148,1.046,1.071,6.5,3.02,0.465,6.212,2.886,0.187,4
2022-10-31,trade,-13.6,False,False,4,1641.267,0.892,0.916,4.76,2.75,0.578,5.336,3.083,0.164,0
2022-11-01,trade,9.47,True,False,1,1638.548,0.947,0.968,9.471,6.101,0.644,10.006,6.445,0.223,1
2022-11-02,trade,9.04,True,False,1,1651.717,0.904,0.93,6.04,5.1,0.844,6.685,5.644,0.174,2
2022-11-03,trade,8.98,True,False,1,1636.088,0.898,0.929,9.15,2.15,0.235,10.188,2.394,0.193,3
2022-11-04,skip,-478.43,False,True,10,1636.398,1.008,1.055,7.78,6.28,0.807,7.72,6.232,0.174,4
2022-11-07,trade,11.41,True,False,1,1672.338,1.141,1.184,9.909,1.989,0.201,8.681,1.742,0.22,0
2022-11-08,skip,-56.29,False,False,4,1673.117,0.829,0.902,4.601,1.18,0.256,5.552,1.424,0.176,1
2022-11-09,trade,68.33,True,False,3,1708.058,1.139,1.232,6.33,2.849,0.45,5.558,2.502,0.199,2
